# This file contains a sequence of unicode symbols that can be displayed
# with Powerline Font. A unicode character could be inserted by pressing
# ctrl+shift u+(unicode code)+(space/enter/tab)

♖     0x2656
♗     0x2657
♘     0x2658
♙     0x2659
♚     0x265A
♛     0x265B
♜     0x265C
♝     0x265D
♞     0x265E
♟     0x265F
♠     0x2660
♡     0x2661
♢     0x2662
♣     0x2663
♤     0x2664
♥     0x2665
♦     0x2666
♧     0x2667
♨     0x2668
♩     0x2669
♪     0x266A
♫     0x266B
♬     0x266C
♭     0x266D
♮     0x266E
♯     0x266F
♰     0x2670
♱     0x2671
♲     0x2672
♳     0x2673
♴     0x2674
♵     0x2675
♶     0x2676
♷     0x2677
♸     0x2678
♹     0x2679
♺     0x267A
♻     0x267B
♼     0x267C
♽     0x267D
♾     0x267E
♿     0x267F
⚀     0x2680
⚁     0x2681
⚂     0x2682
⚃     0x2683
⚄     0x2684
⚅     0x2685
⚆     0x2686
⚇     0x2687
⚈     0x2688
⚉     0x2689
⚊     0x268A
⚋     0x268B
⚌     0x268C
⚍     0x268D
⚎     0x268E
⚏     0x268F
⚐     0x2690
⚑     0x2691
⚒     0x2692
⚓     0x2693
⚔     0x2694
⚕     0x2695
⚖     0x2696
⚗     0x2697
⚘     0x2698
⚙     0x2699
⚚     0x269A
⚛     0x269B
⚜     0x269C
⚝     0x269D
⚞     0x269E
⚟     0x269F
⚠     0x26A0
⚡     0x26A1
⚢     0x26A2
⚣     0x26A3
⚤     0x26A4
⚥     0x26A5
⚦     0x26A6
⚧     0x26A7
⚨     0x26A8
⚩     0x26A9
⚪     0x26AA
⚫     0x26AB
⚬     0x26AC
⚭     0x26AD
⚮     0x26AE
⚯     0x26AF
⚰     0x26B0
⚱     0x26B1
⚲     0x26B2
⚳     0x26B3
⚴     0x26B4
⚵     0x26B5
⚶     0x26B6
⚷     0x26B7
⚸     0x26B8
⚹     0x26B9
⚺     0x26BA
⚻     0x26BB
⚼     0x26BC
⚽     0x26BD
⚾     0x26BE
⚿     0x26BF
⛀     0x26C0
⛁     0x26C1
⛂     0x26C2
⛃     0x26C3
⛄     0x26C4
⛅     0x26C5
⛆     0x26C6
⛇     0x26C7
⛈     0x26C8
⛉     0x26C9
⛊     0x26CA
⛋     0x26CB
⛌     0x26CC
⛍     0x26CD
⛎     0x26CE
⛏     0x26CF
⛐     0x26D0
⛑     0x26D1
⛒     0x26D2
⛓     0x26D3
⛔     0x26D4
⛕     0x26D5
⛖     0x26D6
⛗     0x26D7
⛘     0x26D8
⛙     0x26D9
⛚     0x26DA
⛛     0x26DB
⛜     0x26DC
⛝     0x26DD
⛞     0x26DE
⛟     0x26DF
⛠     0x26E0
⛡     0x26E1
⛢     0x26E2
⛣     0x26E3
⛤     0x26E4
⛥     0x26E5
⛦     0x26E6
⛧     0x26E7
⛨     0x26E8
⛩     0x26E9
⛪     0x26EA
⛫     0x26EB
⛬     0x26EC
⛭     0x26ED
⛮     0x26EE
⛯     0x26EF
⛰     0x26F0
⛱     0x26F1
⛲     0x26F2
⛳     0x26F3
